Taxa,Species,length,year,fjord,d2H,d15N,d13C,TL,T40,S40,d2H_w,
bird liver,BLKI,,2013,Blackstone Bay,-45.63,15.71,-18,4.7,8.154,26.741,-35.17,4.758823529
bird liver,BLKI,,2013,Blackstone Bay,-32.08,16.27,-18.35,4.8,8.154,26.741,-35.17,4.923529412
bird liver,BLKI,,2013,Blackstone Bay,-31.37,16.24,-17.57,4.8,8.154,26.741,-35.17,4.914705882
bird liver,BLKI,,2013,Blackstone Bay,-32.95,15.81,-18.48,4.7,8.154,26.741,-35.17,4.788235294
bird liver,BLKI,,2013,Blackstone Bay,-37.52,16.4,-18.1,4.9,8.154,26.741,-35.17,4.961764706
bird liver,BLKI,,2013,Blackstone Bay,-37.77,15.01,-19.14,4.5,8.154,26.741,-35.17,4.552941176
bird liver,BLKI,,2013,Blackstone Bay,-43.63,15.98,-18.35,4.8,8.154,26.741,-35.17,4.838235294
bird liver,BLKI,,2013,Blackstone Bay,-53.92,16.16,-18.37,4.8,8.154,26.741,-35.17,4.891176471
bird liver,BLKI,,2013,Blackstone Bay,-47.43,15.43,-19.07,4.6,8.154,26.741,-35.17,4.676470588
bird liver,BLKI,,2013,Blackstone Bay,-35.68,16.72,-17.72,4.9,8.154,26.741,-35.17,5.055882353
bird liver,BLKI,,2013,Columbia Bay,-33.36,15.4,-18.6,4.6,5.714,28.384,-34.32,4.667647059
bird liver,BLKI,,2013,Columbia Bay,-24.35,15.61,-18.74,4.7,5.714,28.384,-34.32,4.729411765
bird liver,BLKI,,2013,Columbia Bay,-29.86,16.69,-18.74,4.9,5.714,28.384,-34.32,5.047058824
bird liver,BLKI,,2013,Columbia Bay,-32.05,16.25,-17.77,4.8,5.714,28.384,-34.32,4.917647059
bird liver,BLKI,,2013,Columbia Bay,-25.18,15.94,-18.9,4.7,5.714,28.384,-34.32,4.826470588
bird liver,BLKI,,2013,Columbia Bay,-17.74,16.65,-18.06,4.9,5.714,28.384,-34.32,5.035294118
bird liver,BLKI,,2013,Columbia Bay,-26.95,16.85,-19.12,5,5.714,28.384,-34.32,5.094117647
bird liver,BLKI,,2013,Icy Bay ,-55.33,15.24,-17.9,4.6,6.549,28.072,-32.26,4.620588235
bird liver,BLKI,,2013,Icy Bay ,-47.4,15.56,-18.01,4.6,6.549,28.072,-32.26,4.714705882
bird liver,BLKI,,2013,Icy Bay ,-14.48,15.38,-17.74,4.6,6.549,28.072,-32.26,4.661764706
bird liver,BLKI,,2013,Icy Bay ,-47.25,16.01,-17.54,4.8,6.549,28.072,-32.26,4.847058824
bird liver,BLKI,,2013,Icy Bay ,-32.85,15.27,-17.94,4.6,6.549,28.072,-32.26,4.629411765
bird liver,BLKI,,2013,Icy Bay ,-31.54,15.97,-18.1,4.7,6.549,28.072,-32.26,4.835294118
bird liver,BLKI,,2013,Icy Bay ,-49.93,15.03,-18.78,4.5,6.549,28.072,-32.26,4.558823529
bird liver,BLKI,,2013,Icy Bay ,-57,16.12,-17.62,4.8,6.549,28.072,-32.26,4.879411765
bird liver,BLKI,,2013,Icy Bay ,-42.51,16.06,-17.88,4.8,6.549,28.072,-32.26,4.861764706
microz,Bulk Zoop,,2013,Blackstone Bay,-173.17,6.45,-19.11,1.8,6.844,28.312,-35.17,1.829411765
microz,Bulk Zoop,,2013,Blackstone Bay,-166.71,6.97,-19.9,2,8.154,26.741,-42.16,1.982352941
microz,Bulk Zoop,,2013,Ocean,-170.61,6.66,-20.6,1.9,8.935,29.755,-21.08,1.891176471
microz,Bulk Zoop,,2013,Columbia Bay,-163.37,8.38,-19.89,2.4,3.454,26.208,-35.16,2.397058824
microz,Bulk Zoop,,2013,Columbia Bay,-150.14,9.27,-19.46,2.7,3.248,26.404,-32.13,2.658823529
fish,Capelin,87,2012,Harriman,-136,13.07,-19.27,3.8,5.471,27.654,-32.46,
fish,Capelin,83,2012,Harriman,-140.65,13.39,-18.9,3.9,5.306,27.304,-32.46,
fish,Capelin,117,2012,Harriman,-140.89,13.95,-18.94,4,5.306,27.304,-32.46,
fish,Capelin,80,2012,Harriman,-145.86,13.25,-18.93,3.8,5.306,27.304,-32.46,
fish,Capelin,96,2012,Harriman,-175.09,13.57,-19.08,3.9,5.306,27.304,-32.46,
fish,Capelin,82,2012,Harriman,-155.36,13.29,-18.66,3.8,5.306,27.304,-32.46,
fish,Capelin,95,2012,Harriman,-138.99,13.58,-19.26,3.9,5.306,27.304,-32.46,
fish,Capelin,108,2013,Columbia Bay,-120.77,13.77,-18.85,4,3.953,26.231,-36.12,
fish,Capelin,85,2012,Unakwik,-122.75,12.75,-19.24,3.7,5.471,27.654,-28.26,
fish,Capelin,88,2012,Unakwik,-113.49,13.02,-19.11,3.8,5.471,27.654,-28.26,
fish,Capelin,88,2012,Harriman,-142.34,13.39,-18.57,3.9,5.306,27.304,-32.46,
fish,Capelin,66,2013,Columbia Bay,-132.7,12.86,-19.3,3.7,3.953,26.231,-36.12,
fish,Capelin,127,2013,Columbia Bay,-112.71,14.53,-18.26,4.2,3.953,26.231,-36.12,
fish,Capelin,78,2013,Columbia Bay,-134.75,13.42,-19.32,3.9,3.953,26.231,-36.12,
fish,Capelin,81,2013,Columbia Bay,-127.04,13.11,-19.02,3.8,3.953,26.231,-36.12,
fish,Capelin,79,2012,Harriman,-144.85,13.24,-18.89,3.8,5.471,27.654,-32.46,
fish,Capelin,112,2012,Harriman,-141.75,13.11,-18.8,3.8,5.306,27.304,-32.46,
fish,Capelin,99,2012,Harriman,-126.87,12.48,-18.76,3.6,5.471,27.654,-32.46,
fish,Capelin,85,2013,Columbia Bay,-130.34,12.62,-19.11,3.6,3.953,26.231,-36.12,
fish,Capelin,83,2012,Harriman,-125.86,13.43,-18.88,3.9,5.306,27.304,-32.46,
fish,Capelin,123,2013,Columbia Bay,-111.39,13.18,-19.62,3.8,3.953,26.231,-36.12,
fish,Capelin,121,2013,Columbia Bay,-112.45,13.62,-19.18,3.9,3.953,26.231,-36.12,
fish,Capelin,83,2013,Columbia Bay,-133.11,13.49,-19.51,3.9,3.953,26.231,-36.12,
fish,Capelin,74,2013,Columbia Bay,-125.94,13.14,-18.98,3.8,3.953,26.231,-36.12,
fish,Capelin,73,2013,Columbia Bay,-133.18,13.24,-19.45,3.8,3.953,26.231,-36.12,
fish,Capelin,85,2013,Columbia Bay,-128.84,13,-18.92,3.8,3.953,26.231,-36.12,
fish,Capelin,105,2012,Unakwik,-135.03,12.89,-19.18,3.7,5.471,27.654,-28.26,
fish,Capelin,122,2013,Columbia Bay,-122.12,13.37,-18.12,3.9,3.953,26.231,-36.12,
fish,Capelin,104,2012,Unakwik,-117.06,13.13,-18.94,3.8,5.471,27.654,-28.26,
fish,Capelin,86,2012,Unakwik,-126.47,13.02,-19.28,3.8,5.471,27.654,-28.26,
fish,Capelin,121,2013,Columbia Bay,-118.72,14.09,-18.84,4.1,3.953,26.231,-36.12,
fish,Capelin,108,2012,Harriman,-125.35,13.08,-18.82,3.8,5.471,27.654,-32.46,
fish,Capelin,98,2012,Unakwik,-136.79,12.81,-19.06,3.7,5.471,27.654,-28.26,
fish,Capelin,100,2012,Unakwik,-120.06,13.16,-18.77,3.8,5.471,27.654,-28.26,
fish,Capelin,87,2012,Unakwik,-127.52,13.19,-18.95,3.8,5.471,27.654,-28.26,
fish,Capelin,100,2012,Unakwik,-113.57,13.22,-19.03,3.8,5.471,27.654,-28.26,
fish,Capelin,139,2013,Columbia Bay,-118.66,13.91,-18.76,4,3.953,26.231,-36.12,
fish,Capelin,100,2012,Unakwik,-117.7,13.11,-18.88,3.8,5.471,27.654,-28.26,
fish,Capelin,95,2012,Unakwik,-114.72,13,-19.01,3.8,5.471,27.654,-28.26,
fish,Capelin,106,2012,Unakwik,-109.02,13.13,-18.96,3.8,5.471,27.654,-28.26,
fish,Capelin,86,2012,Unakwik,-121.05,12.86,-19.26,3.7,5.471,27.654,-28.26,
fish,Capelin,102,2012,Unakwik,-117.29,12.89,-18.98,3.7,5.471,27.654,-28.26,
fish,Capelin,104,2012,Unakwik,-128.43,12.43,-19.14,3.6,5.471,27.654,-28.26,
microz,Copepod,,2013,Columbia Bay,-127.42,5.13,-20.09,1.4,3.454,26.208,-35.16,
microz,Copepod,,2013,Blackstone Bay,-140.74,7.11,-20.58,2,8.154,26.741,-42.16,
microz,Copepod,,2013,Columbia Bay,-137.1,8.42,-19.68,2.4,8.154,26.741,-34.32,
microz,Copepod,,2013,Blackstone Bay,-147.81,7.44,-20.51,2.1,6.844,28.312,-35.17,
macroz,E. pacifica,,2012,Harriman,-139.79,12.59,-19.41,3.6,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-147.91,12.45,-18.86,3.6,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-131.82,12.75,-18.93,3.7,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-147.73,12.83,-18.74,3.7,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-127.52,11.31,-18.37,3.3,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-139.5,13.02,-18.7,3.8,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-135.26,11.31,-18.69,3.3,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-138.49,12.83,-18.47,3.7,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-132.08,11.14,-18.67,3.2,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Unakwik,-140.73,9.86,-18.58,2.8,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Harriman,-179.9,11.39,-19.34,3.3,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-136.77,11.36,-18.21,3.3,5.306,27.304,-32.46,
macroz,E. pacifica,,2013,Columbia Bay,-154.05,10.42,-17.97,3,3.953,26.231,-36.12,
macroz,E. pacifica,,2013,Columbia Bay,-145.39,9.02,-18.59,2.6,3.953,26.231,-36.12,
macroz,E. pacifica,,2012,Harriman,-163.72,10.68,-19.88,3.1,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Harriman,-135.04,11.31,-18.61,3.3,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Unakwik,-117.2,11.14,-18.61,3.2,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Harriman,-131.82,11.63,-18.31,3.4,5.306,27.304,-32.46,
macroz,E. pacifica,,2012,Unakwik,-123.55,10.74,-18.91,3.1,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-131.43,10.76,-18.96,3.1,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-121.4,11.09,-18.66,3.2,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-103.32,11.44,-18.57,3.3,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-130.87,10.9,-19.05,3.1,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-117.6,10.05,-18.62,2.9,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-117.3,10.22,-19.44,2.9,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Unakwik,-128.65,11.14,-18.53,3.2,6.188,27.203,-23.67,
macroz,E. pacifica,,2012,Harriman,-132.27,13.11,-18.35,3.8,5.306,27.304,-32.46,
macroz,E. pacifica,,2013,Columbia Bay,-140.93,8.16,-19.64,2.3,3.953,26.231,-36.12,
macroz,E. pacifica,,2013,Columbia Bay,-147.1,9.01,-18.96,2.6,3.953,26.231,-36.12,
