"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1"
"dN_base",7.10496688212634,0.00664271546775081,0.210061107265233,6.68231037736699,6.96606284354491,7.11087402847636,7.24940562922903,7.51507542891713,1000,0.99906816119921,7.10496688212634,0.210061107265233,6.68231037736699,6.96606284354491,7.11087402847636,7.24940562922903,7.51507542891713
"dC1",-23.3322993334668,0.0187597825562388,0.593236412872105,-24.5256289841469,-23.726833192687,-23.311743697366,-22.959624882928,-22.1843404955204,1000,0.999002244553203,-23.3322993334668,0.593236412872105,-24.5256289841469,-23.726833192687,-23.311743697366,-22.959624882928,-22.1843404955204
"dC2",-19.8105354253229,0.0260958545201922,0.825223377722079,-21.1633406684405,-20.4035721449647,-19.8741433761868,-19.2684880906642,-18.0191405085997,1000,0.999224753720125,-19.8105354253229,0.825223377722079,-21.1633406684405,-20.4035721449647,-19.8741433761868,-19.2684880906642,-18.0191405085997
"dC3",-23.1496736426821,0.0264257060887049,0.835654200184871,-25.1523937883693,-23.6390125634806,-22.9784906440652,-22.4845651716742,-22.0463060446299,1000,1.00085747123641,-23.1496736426821,0.835654200184871,-25.1523937883693,-23.6390125634806,-22.9784906440652,-22.4845651716742,-22.0463060446299
"dN[1]",3.60527490434169,0.00595262537845942,0.187264639136408,3.23783015079526,3.47502498062544,3.60454103557202,3.72908947814952,3.95610248718176,989.679222865734,0.999091090955592,3.60527490434169,0.187264639136408,3.23783015079526,3.47502498062544,3.60454103557202,3.72908947814952,3.95610248718176
"dN[2]",3.52876875517433,0.0102584350161867,0.324400198799762,2.81352963361506,3.33156401670817,3.52825668022142,3.75268777802249,4.1559341155642,1000,1.00011869861046,3.52876875517433,0.324400198799762,2.81352963361506,3.33156401670817,3.52825668022142,3.75268777802249,4.1559341155642
"dN[3]",3.64478868892548,0.00975444326787497,0.308462580333809,3.05409130722031,3.4398076218678,3.64375905105911,3.83090264960885,4.26294302289676,1000,0.999693451778496,3.64478868892548,0.308462580333809,3.05409130722031,3.4398076218678,3.64375905105911,3.83090264960885,4.26294302289676
"dH[1]",-7.37530119548935,0.0318933625053736,1.00855667758395,-9.36373824471317,-8.0927025852639,-7.32414295909776,-6.70474485579376,-5.44674251521832,1000,0.999152315871935,-7.37530119548935,1.00855667758395,-9.36373824471317,-8.0927025852639,-7.32414295909776,-6.70474485579376,-5.44674251521832
"dH[2]",-23.7050529075553,0.556915883347891,17.3781113646158,-58.5565945617712,-35.053794754686,-23.9562817419197,-12.0340466162855,10.2988962987481,973.70173427769,1.00074014215505,-23.7050529075553,17.3781113646158,-58.5565945617712,-35.053794754686,-23.9562817419197,-12.0340466162855,10.2988962987481
"dH[3]",-108.60007433451,0.331794811407073,10.4408557435208,-129.917414003667,-115.752765362321,-108.815131110203,-101.702569013322,-87.4929894154694,990.22300154804,0.999210258800813,-108.60007433451,10.4408557435208,-129.917414003667,-115.752765362321,-108.815131110203,-101.702569013322,-87.4929894154694
"phi[1,1]",0.339149558086672,0.0061705128078462,0.195128748040349,0.0239838291343809,0.198060841598911,0.31472217632202,0.474238145268196,0.760720096157248,1000,0.999031166307959,0.339149558086672,0.195128748040349,0.0239838291343809,0.198060841598911,0.31472217632202,0.474238145268196,0.760720096157248
"phi[1,2]",0.358149620800402,0.00618481450179741,0.195581007313194,0.0278314346051899,0.207827818932198,0.357150544367183,0.491705889180471,0.765487263594488,1000,0.99938333842281,0.358149620800402,0.195581007313194,0.0278314346051899,0.207827818932198,0.357150544367183,0.491705889180471,0.765487263594488
"phi[1,3]",0.302700821112925,0.00519342120294828,0.164230398499281,0.0224465063899856,0.17655317839921,0.305833259954624,0.414779751560671,0.647319646049624,1000,0.999276544853638,0.302700821112925,0.164230398499281,0.0224465063899856,0.17655317839921,0.305833259954624,0.414779751560671,0.647319646049624
"phi[2,1]",0.149916238079256,0.0034050116820886,0.107675923748811,0.00721221663790029,0.0676894429661406,0.132734060514258,0.205115885370501,0.417315831599632,1000,0.999092859935587,0.149916238079256,0.107675923748811,0.00721221663790029,0.0676894429661406,0.132734060514258,0.205115885370501,0.417315831599632
"phi[2,2]",0.403403370577036,0.00455884476191525,0.144163329467802,0.116208073152958,0.303825745643501,0.403035651438113,0.50379293089061,0.680100687834004,1000,0.999165931324103,0.403403370577036,0.144163329467802,0.116208073152958,0.303825745643501,0.403035651438113,0.50379293089061,0.680100687834004
"phi[2,3]",0.446680391343709,0.00392742648466497,0.124196130344097,0.185294966810324,0.366651654043247,0.450964717612122,0.527897335041913,0.682415053130282,1000,0.999544926079711,0.446680391343709,0.124196130344097,0.185294966810324,0.366651654043247,0.450964717612122,0.527897335041913,0.682415053130282
"phi[3,1]",0.461267332103805,0.00447602751483898,0.138876566034024,0.158381373679275,0.377039934658674,0.462691834327222,0.549835590745576,0.731655076070605,962.658929114366,0.999833831996493,0.461267332103805,0.138876566034024,0.158381373679275,0.377039934658674,0.462691834327222,0.549835590745576,0.731655076070605
"phi[3,2]",0.322300787286453,0.00345183735687641,0.107707863404555,0.102022550191982,0.25131542091827,0.324398708650931,0.395627202309596,0.522340373113219,973.630505864271,0.99900489260718,0.322300787286453,0.107707863404555,0.102022550191982,0.25131542091827,0.324398708650931,0.395627202309596,0.522340373113219
"phi[3,3]",0.216431880609742,0.00345414836650749,0.109229762143137,0.0357059263436182,0.14287322058949,0.20286240630787,0.274628576224191,0.486852432477404,1000,1.00018542351603,0.216431880609742,0.109229762143137,0.0357059263436182,0.14287322058949,0.20286240630787,0.274628576224191,0.486852432477404
